Santimr19;Fri Dec 13 22:40:43 2019 +0100;Estimacion Cuadrito de Arriba
Santimr19;Fri Dec 13 22:35:22 2019 +0100;Estimaciones Tabla y Justificacion
Santimr19;Fri Dec 13 14:35:14 2019 +0100;Casos de Uso terminado y Prototipado de Pedro
AlbertoEnGithub;Fri Dec 13 02:49:40 2019 +0100;Update Prototipo postentrega.xd
AlbertoEnGithub;Fri Dec 13 02:47:04 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
AlbertoEnGithub;Fri Dec 13 02:45:01 2019 +0100;Updated prototype and improved video
adrisanjuan;Thu Dec 12 18:55:33 2019 +0100;Upaste prototipopostentrega for video
AlbertoEnGithub;Tue Dec 10 02:08:15 2019 +0100;Prototype almost finished and updated video
adrisanjuan;Mon Dec 9 21:32:12 2019 +0100;Update prototipo
adrisanjuan;Sat Dec 7 11:30:48 2019 +0100;Introducción PdP actualizada
Santimr19;Fri Dec 6 17:40:57 2019 +0100;Casos de Uso Actualizado
adrisanjuan;Thu Dec 5 02:47:15 2019 +0100;Prototipo actualizado
rubgom03;Wed Dec 4 23:35:12 2019 +0100;Add files via upload
Pedro Palacios;Wed Dec 4 20:35:55 2019 +0100;Updated CRCs and SRS
AlbertoEnGithub;Tue Dec 3 22:47:16 2019 +0100;Added logo video and changed prototype images
Pedro Palacios;Tue Dec 3 20:43:25 2019 +0100;Added better buttons and message prototype
AlbertoEnGithub;Tue Dec 3 18:55:27 2019 +0100;Improved prototype and updated images
Santimr19;Tue Dec 3 18:49:38 2019 +0100;Logo azul
AlbertoEnGithub;Tue Dec 3 01:19:39 2019 +0100;Update images and prototype
rubgom03;Tue Dec 3 00:50:30 2019 +0100;Add files via upload
AlbertoEnGithub;Mon Dec 2 23:04:32 2019 +0100;New prototype design
AlbertoEnGithub;Mon Dec 2 22:53:49 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
AlbertoEnGithub;Mon Dec 2 22:53:13 2019 +0100;Organised images and created new ones
rubgom03;Mon Dec 2 22:51:33 2019 +0100;Add files via upload
adrisanjuan;Mon Dec 2 20:39:46 2019 +0100;Avance prototipo
AlbertoEnGithub;Mon Dec 2 20:33:28 2019 +0100;New design colours
Santimr19;Sun Dec 1 22:41:49 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
AlbertoEnGithub;Sun Dec 1 22:39:48 2019 +0100;Finished revision of PP and SRS
AlbertoEnGithub;Sun Dec 1 21:14:21 2019 +0100;PP's revision
JuanCarlosLlamas;Sun Dec 1 19:49:55 2019 +0100;Actas terminadas
Santimr19;Sun Dec 1 19:47:14 2019 +0100;Sin ult pag
rubgom03;Sun Dec 1 19:44:15 2019 +0100;Add files via upload
Santimr19;Sun Dec 1 19:40:09 2019 +0100;SRS sin Ultima Pag
Santimr19;Sun Dec 1 19:12:52 2019 +0100;Cambio casos de uso ENTREGA
JuanCarlosLlamas;Sun Dec 1 18:57:51 2019 +0100;Plan de Proyecto TERMINADO
JuanCarlosLlamas;Sun Dec 1 18:43:47 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
JuanCarlosLlamas;Sun Dec 1 18:43:41 2019 +0100;SRS TERMINADO
Santimr19;Sun Dec 1 18:29:11 2019 +0100;Retoques PDP
rubgom03;Sun Dec 1 18:02:42 2019 +0100;Add files via upload
AlbertoEnGithub;Sun Dec 1 18:01:01 2019 +0100;Finished part 3 of SRS and finished first complete version of prototype
JuanCarlosLlamas;Sun Dec 1 17:53:20 2019 +0100;Actas cerradas
JuanCarlosLlamas;Sun Dec 1 17:40:10 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
JuanCarlosLlamas;Sun Dec 1 17:40:06 2019 +0100;Plan de proyecto
rubgom03;Sun Dec 1 17:10:20 2019 +0100;Add files via upload
Pablo1003;Sun Dec 1 17:01:33 2019 +0100;srs con casos de uso bonitos
Santimr19;Sun Dec 1 16:45:13 2019 +0100;Añadido Admin
AlbertoEnGithub;Sun Dec 1 16:40:58 2019 +0100;Finished favours' screen in prototype and added all images related to it
adrisanjuan;Sun Dec 1 16:29:47 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
adrisanjuan;Sun Dec 1 16:28:59 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
rubgom03;Sun Dec 1 16:28:59 2019 +0100;Add files via upload
adrisanjuan;Sun Dec 1 16:28:30 2019 +0100;Actas actualizadas
Santimr19;Sun Dec 1 16:18:14 2019 +0100;Casos de Uso Diagrama Terminado
Pablo1003;Sun Dec 1 16:04:35 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
Pablo1003;Sun Dec 1 16:04:33 2019 +0100;casos de uso bonitos
Jaime Martínez;Sun Dec 1 15:14:06 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
Jaime Martínez;Sun Dec 1 15:13:42 2019 +0100;Dact nuevos y con formato final
AlbertoEnGithub;Sun Dec 1 14:57:24 2019 +0100;Added photos of people for various designs, improved prototype and organised images folder
Jaime Martínez;Sun Dec 1 14:49:16 2019 +0100;Update Dact Gestionar Configuración.PNG
Pablo1003;Sun Dec 1 14:12:51 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
Pablo1003;Sun Dec 1 14:12:47 2019 +0100;Update SRS.docx
Jaime Martínez;Sun Dec 1 14:12:29 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
Jaime Martínez;Sun Dec 1 14:11:45 2019 +0100;Create Reunión 25-10.docx
Jaime Martínez;Sun Dec 1 13:49:28 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
Jaime Martínez;Sun Dec 1 13:49:15 2019 +0100;Update Plan de proyecto.docx
AlbertoEnGithub;Sun Dec 1 13:32:43 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
AlbertoEnGithub;Sun Dec 1 13:32:15 2019 +0100;Part 3 of SRS is almost finished. Improved prototype's design
JuanCarlosLlamas;Sun Dec 1 13:32:13 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
JuanCarlosLlamas;Sun Dec 1 13:31:55 2019 +0100;Actas de reuniones con formato
Pablo1003;Sun Dec 1 13:30:39 2019 +0100;Cambio en un diagrama de flujo
rubgom03;Sun Dec 1 12:31:25 2019 +0100;Add files via upload
JuanCarlosLlamas;Sun Dec 1 12:19:47 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
JuanCarlosLlamas;Sun Dec 1 12:19:43 2019 +0100;SRS a falta de pantallas
rubgom03;Sun Dec 1 12:02:30 2019 +0100;Mi versión para Alberto
JuanCarlosLlamas;Sun Dec 1 11:43:39 2019 +0100;Avances
adrisanjuan;Sun Dec 1 10:03:26 2019 +0100;Introducción terminada en entrega
adrisanjuan;Sun Dec 1 09:48:20 2019 +0100;Introducción modificada y terminada
AlbertoEnGithub;Sun Dec 1 02:34:52 2019 +0100;Finished interfaces and organised various files and folders
Santimr19;Sun Dec 1 00:14:26 2019 +0100;Create CartelSanti.pdf
Santimr19;Sun Dec 1 00:07:55 2019 +0100;Update CartelSanti.ai
Santimr19;Sat Nov 30 23:55:22 2019 +0100;Plan de Proyecto
Santimr19;Sat Nov 30 22:52:52 2019 +0100;cartelSanti
JuanCarlosLlamas;Sat Nov 30 22:24:18 2019 +0100;Carpeta ENTREGA
JuanCarlosLlamas;Sat Nov 30 22:08:16 2019 +0100;Retoques
JuanCarlosLlamas;Sat Nov 30 22:03:45 2019 +0100;SRS faltan pantallas
Pablo1003;Sat Nov 30 20:40:12 2019 +0100;cambiado casos de uso
Pablo1003;Sat Nov 30 20:03:09 2019 +0100;Casos de Uso juntos
AlbertoEnGithub;Sat Nov 30 18:17:35 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
AlbertoEnGithub;Sat Nov 30 18:17:26 2019 +0100;Updated prototype and added images of prizes and prices
Santimr19;Sat Nov 30 17:41:44 2019 +0100;PDP NO TERMINADO
Jaime Martínez;Sat Nov 30 15:01:42 2019 +0100;SRS
Jaime Martínez;Sat Nov 30 14:15:05 2019 +0100;Mecanismos de gestión y control TERMINADO
JuanCarlosLlamas;Sat Nov 30 11:09:41 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
JuanCarlosLlamas;Sat Nov 30 11:09:37 2019 +0100;Intro de 2.Descripción de proyecto (SRS)
Santimr19;Sat Nov 30 11:01:05 2019 +0100;Modificado PDP Merged
rubgom03;Sat Nov 30 00:52:56 2019 +0100;Prototipo SEMITERMINADO(falta vuestra aprobación)
AlbertoEnGithub;Fri Nov 29 20:00:32 2019 +0100;Finished Estimations and left Interfaces ready for its completion
Pablo1003;Fri Nov 29 19:02:56 2019 +0100;cambios en las tablas (demandante y realizador por usuario)
Santimr19;Fri Nov 29 15:23:41 2019 +0100;PDP Merged
Santimr19;Fri Nov 29 12:10:58 2019 +0100;Update
adrisanjuan;Fri Nov 29 00:57:49 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
adrisanjuan;Fri Nov 29 00:57:42 2019 +0100;Update Logrollingproto.xd
Pedro Palacios;Thu Nov 28 23:43:51 2019 +0100;Moved 'Anexos' folder
Pedro Palacios;Thu Nov 28 23:41:44 2019 +0100;Renamed functional requirements
Pedro Palacios;Thu Nov 28 23:38:27 2019 +0100;Finished CRC cards, classes and functional requirements.
AlbertoEnGithub;Thu Nov 28 23:06:10 2019 +0100;Changed name
AlbertoEnGithub;Thu Nov 28 23:04:57 2019 +0100;Added point 3 of SRS
rubgom03;Thu Nov 28 19:57:07 2019 +0100;Add files via upload
Pablo1003;Thu Nov 28 18:55:16 2019 +0100;Introducción semiterminada
Pablo1003;Thu Nov 28 17:44:50 2019 +0100;asd
adrisanjuan;Thu Nov 28 03:05:11 2019 +0100;Update Logrollingproto.xd
adrisanjuan;Thu Nov 28 03:03:15 2019 +0100;Update Logrollingproto.xd
rubgom03;Wed Nov 27 23:22:31 2019 +0100;Primeras pantallas proto
JuanCarlosLlamas;Wed Nov 27 17:52:57 2019 +0100;Tarjetas TERMINADAS
Pedro Palacios;Wed Nov 27 16:55:26 2019 +0100;Terminado archivo recursos del proyecto. Modificado formato.
adrisanjuan;Wed Nov 27 01:29:57 2019 +0100;Introduccion terminada salvo gráfico de subsistemas
AlbertoEnGithub;Tue Nov 26 21:22:15 2019 +0100;Updated search filter
AlbertoEnGithub;Tue Nov 26 21:11:00 2019 +0100;Finished estimations
Santimr19;Tue Nov 26 20:14:51 2019 +0100;xd
Santimr19;Tue Nov 26 20:12:33 2019 +0100;Nuevo logo
Santimr19;Tue Nov 26 20:05:42 2019 +0100;Update
JuanCarlosLlamas;Tue Nov 26 20:02:43 2019 +0100;Proyctos de otros años
Pablo1003;Tue Nov 26 18:01:28 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
Pablo1003;Tue Nov 26 18:01:03 2019 +0100;Gestión de riesgos con formato y resumen al principio
rubgom03;Tue Nov 26 17:45:50 2019 +0100;Add files via upload
rubgom03;Tue Nov 26 17:45:08 2019 +0100;Delete Gestión del equipo.docx
rubgom03;Tue Nov 26 17:43:40 2019 +0100;Add files via upload
irda2;Tue Nov 26 10:51:16 2019 +0100;tabla intro cambiada
Santimr19;Tue Nov 26 09:58:06 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
Santimr19;Tue Nov 26 09:58:01 2019 +0100;Estimacion no terminada
JuanCarlosLlamas;Tue Nov 26 09:55:16 2019 +0100;Delete 4. Planificación Temporal.docx
JuanCarlosLlamas;Tue Nov 26 09:54:56 2019 +0100;Add files via upload
Pedro Palacios Almendros;Tue Nov 26 09:49:55 2019 +0100;Uploaded poster
JuanCarlosLlamas;Tue Nov 26 09:43:23 2019 +0100;Delete 2. Estimación TERMINADO.docx
JuanCarlosLlamas;Tue Nov 26 09:43:09 2019 +0100;Para terminar esta tarde
AlbertoEnGithub;Tue Nov 26 00:01:09 2019 +0100;Added examples from previous years
AlbertoEnGithub;Mon Nov 25 23:12:00 2019 +0100;Estimations is now FINISHED
Santimr19;Mon Nov 25 22:32:15 2019 +0100;Diseño
Santimr19;Mon Nov 25 22:18:52 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
AlbertoEnGithub;Mon Nov 25 19:55:11 2019 +0100;General update + Added today's meeting report
AlbertoEnGithub;Mon Nov 25 19:27:49 2019 +0100;Update finished parts
JuanCarlosLlamas;Mon Nov 25 19:02:38 2019 +0100;No estaba terminado
JuanCarlosLlamas;Mon Nov 25 18:54:39 2019 +0100;Partes terminadas
JuanCarlosLlamas;Mon Nov 25 18:51:31 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
JuanCarlosLlamas;Mon Nov 25 18:51:26 2019 +0100;2.Descripción General (SRS) TERMINADO
Pablo1003;Mon Nov 25 18:26:57 2019 +0100;Listo para cambiarle el formato
Santimr19;Mon Nov 25 14:20:58 2019 +0100;Logo
Santimr19;Mon Nov 25 12:50:38 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
Santimr19;Mon Nov 25 12:50:15 2019 +0100;Cambios Reunion
Jaime Martínez;Mon Nov 25 12:44:27 2019 +0100;Mecanismos de gestión y control TERMINADO
Santimr19;Mon Nov 25 11:03:24 2019 +0100;Casos de Uso
AlbertoEnGithub;Mon Nov 25 02:11:25 2019 +0100;Estimación almost complete
AlbertoEnGithub;Mon Nov 25 01:27:03 2019 +0100;Various changes for clearness and visibility
adrisanjuan;Mon Nov 25 01:09:19 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
adrisanjuan;Mon Nov 25 01:09:07 2019 +0100;versión con formato de la introduccion
AlbertoEnGithub;Mon Nov 25 00:33:41 2019 +0100;Delete
AlbertoEnGithub;Sun Nov 24 23:58:28 2019 +0100;Delete ~$timación.docx
JuanCarlosLlamas;Sun Nov 24 20:39:24 2019 +0100;Tarjetas completas a falta de Logo
JuanCarlosLlamas;Sun Nov 24 19:02:52 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
JuanCarlosLlamas;Sun Nov 24 19:02:47 2019 +0100;Tarjetas
Pablo1003;Sun Nov 24 18:20:49 2019 +0100;Diagrama de Actv 1
Pablo1003;Sun Nov 24 17:51:48 2019 +0100;gestion de riesgos con formato v2
Pablo1003;Sun Nov 24 17:47:13 2019 +0100;Tarjetas de equipo v2
Pablo1003;Sun Nov 24 17:44:17 2019 +0100;Tarjetas de equipo v1
Jaime Martínez;Sun Nov 24 17:39:16 2019 +0100;Update Mecanismos de gestión y control.docx
JuanCarlosLlamas;Sun Nov 24 14:06:15 2019 +0100;Update Modelo.png
JuanCarlosLlamas;Sun Nov 24 14:04:49 2019 +0100;Create Modelo.png
JuanCarlosLlamas;Sun Nov 24 13:52:30 2019 +0100;Tarjetas de presentación(Incompletas)
JuanCarlosLlamas;Sun Nov 24 12:27:26 2019 +0100;Planificación Temporal (Practicamente terminada)
Santimr19;Sat Nov 23 15:27:19 2019 +0100;Casos de Uso Santi V1
Santimr19;Sat Nov 23 15:24:52 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
Santimr19;Sat Nov 23 15:24:21 2019 +0100;Casos de uso Documentacion V1 Santiago
Santimr19;Sat Nov 23 14:50:09 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
Santimr19;Sat Nov 23 14:50:04 2019 +0100;Casos de uso Santi V2
Santimr19;Sat Nov 23 13:46:12 2019 +0100;Casos de uso v4
Pablo1003;Sat Nov 23 11:47:31 2019 +0100;Documentación de casos v2 Pablo
